REG_DATE,P_TYPE,CTRY_1,CTRY_2,P_PURPOSE,CATEGORY_1,CATEGORY_2,P_NAME,P_IMPORT_TYPE,P_PRICE
2020-01-06,수산물,호주,일본,판매용,어류,참치 새치류 ,남방참다랑어,"냉동,목살",4.88 
2020-01-06,수산물,칠레,일본,자사제품제조용,어류,연어,은연어,냉동,5.39 
2020-01-06,수산물,중국,중국,판매용,어류,도다리,강도다리,활,6.76 
2020-01-06,수산물,중국,중국,판매용,어류,복어,자주복,활,18.50 
2020-01-06,수산물,중국,중국,판매용,어류,복어,은밀복,냉동,3.07 
2020-01-06,수산물,중국,중국,판매용,어류,능성어 붉바리 바리,"바리,교잡종",활,14.00 
2020-01-06,수산물,중국,중국,판매용,어류,복어,까칠복,냉동,1.73 
2020-01-06,수산물,중국,중국,판매용,갑각류,새우,젓새우,염장,1.40 
2020-01-06,수산물,중국,중국,판매용,갑각류,새우,적새우,"냉동,살",5.67 
2020-01-06,수산물,중국,중국,판매용,패류 멍게류,바지락,바지락,"냉동,살",2.69 
2020-01-06,수산물,중국,중국,판매용,패류 멍게류,바지락,바지락,"냉장,살",5.47 
2020-01-06,수산물,중국,중국,판매용,패류 멍게류,가리비,가리비,"냉동,한쪽껍질붙은",4.80 
2020-01-06,수산물,중국,중국,판매용,패류 멍게류,조개,개조개,"냉동,살",2.47 
2020-01-06,수산물,중국,중국,판매용,연체류 해물모듬,문어,문어,"냉동,자숙",4.36 
2020-01-06,수산물,중국,중국,판매용,연체류 해물모듬,문어,문어,"냉동,다리,자숙",5.81 
2020-01-06,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,슬라이스(S)",2.71 
2020-01-06,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.94 
2020-01-06,수산물,중국,중국,판매용,젓갈류 해조류 해파리,해파리,해파리,염장,3.19 
2020-01-06,수산물,중국,일본,판매용,어류,참치 새치류 ,눈다랑어,"냉동,필렛(F),횟감",13.34 
2020-01-06,수산물,중국,일본,판매용,어류,참치 새치류 ,눈다랑어,"냉동,목살",4.51 
2020-01-06,수산물,스페인,스페인,판매용,어류,참치 새치류 ,대서양참다랑어,"냉장,필렛(F),횟감",51.48 
2020-01-06,수산물,프랑스,프랑스,외화획득용 원료,어류,메로,파타고니아이빨고기,냉동,13.79 
2020-01-06,수산물,영국,영국,판매용,어류,연어,연어,냉장,13.71 
2020-01-06,수산물,기니,기니,판매용,연체류 해물모듬,갑오징어,갑오징어,냉동,4.34 
2020-01-06,수산물,크로아티아,크로아티아,판매용,어류,참치 새치류 ,참다랑어,냉장,22.00 
2020-01-06,수산물,인도네시아,인도네시아,판매용,어류,조기 보구치 강다리 ,작은흑조기,냉동,4.43 
2020-01-06,수산물,인도네시아,인도네시아,판매용,기타 수입식품,자라,식용자라,활,11.37 
2020-01-06,수산물,인도네시아,인도네시아,자사제품제조용,젓갈류 해조류 해파리,고시래기,꼬시래기,건조,0.60 
2020-01-06,수산물,인도,인도,판매용,어류,능성어 붉바리 바리,바리,냉동,2.28 
2020-01-06,수산물,이탈리아,일본,판매용,어류,참치 새치류 ,참다랑어,"냉동,필렛(F),횟감",39.10 
2020-01-06,수산물,이탈리아,몰타,자사제품제조용,어류,참치 새치류 ,참다랑어,"냉동,필렛(F)",26.15 
2020-01-06,수산물,일본,일본,판매용,어류,참치 새치류 ,황다랑어,"냉동,필렛(F),횟감",7.50 
2020-01-06,수산물,일본,일본,판매용,어류,장어,먹장어,활,11.02 
